Sr No,date,startup,vertical,subvertical,city,investors,round,amount,year,month
852,2017-05-31,Sastasundar,E-Commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Unknown,41.25,2017,5
853,2017-05-31,Magicpin,Software,Hyperlocal Discovery  Rewards Platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Unknown,57.75,2017,5
854,2017-04-01,Cashe,Software,Online  Mobile Based Lending Platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Unknown,31.35,2017,4
855,2017-04-03,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Unknown,67.65,2017,4
856,2017-04-03,Testbook,Software,Online Test Preparation Platform,Mumbai,Matrix Partners India,Unknown,0.0,2017,4
857,2017-04-03,Healthcare At Home,Healthcare & Hospitality,Home Healthcare Provider,Noida,Quadria Capital Advisors,Unknown,330.0,2017,4
858,2017-04-03,Tyre Express,Software,Enterprise Iot Solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,0.0,2017,4
859,2017-04-03,Smartcoin,Software,Micro Lending Platform,Bangalore,Unicorn India Ventures & Others,Unknown,0.0,2017,4
860,2017-04-04,Waycool,Consumables,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Unknown,22.275,2017,4
861,2017-04-04,Perfios,Software,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Unknown,50.325,2017,4
862,2017-04-04,Whatfix,Software,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Unknown,30.4425,2017,4
863,2017-04-04,Elastirun,Software,App Based Logistics  Distribution Platform,Pune,"Kalaari Capital, Norwest Venture Partners",Unknown,57.75,2017,4
864,2017-04-04,Trukky,Software,Online Truck Aggregator  Booking Platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,4.125,2017,4
865,2017-04-04,Konsult App,Software,App Based Doctor Consulting Platform,Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,4.125,2017,4
